datetime,theta,mu,sigma_eq,half_life_min
2025-11-05 14:35:00,0.0017347740524406225,-5.854733423937313,0.20480055522559729,399.5604958379271
2025-11-06 13:34:00,0.002817970728532156,-5.91628845267308,0.15491601164114321,245.97387529323152
2025-11-07 11:04:00,0.004637128319770681,-5.897054474963993,0.11429083434199884,149.47767945188616
2025-11-10 10:02:00,0.011837170546231514,-5.871136014099739,0.07225409967198397,58.55682976373234
2025-11-10 14:31:00,0.012069089973096744,-5.876828059766948,0.07036250607833593,57.431602722744
2025-11-11 13:30:00,0.006705638087492072,-5.903515832900583,0.09355542091463984,103.36781847097632
2025-11-12 11:00:00,0.007173481873569371,-5.9371542081505435,0.08931805198995556,96.62632355897347
2025-11-13 09:59:00,0.009287205157002435,-5.9418527438462005,0.07613293936371761,74.63463645328446
2025-11-13 14:28:00,0.008826851793257328,-5.939396979000814,0.07710398965060997,78.52711213407116
2025-11-14 13:27:00,0.0073522377904226,-5.927553677507652,0.0839588455518561,94.2770351447112
2025-11-17 10:57:00,0.006345708306982823,-5.956153093525293,0.09049370586048544,109.23086076887674
2025-11-18 09:57:00,0.00822779951398169,-5.934875810343203,0.07900862371159076,84.24453942783417
2025-11-18 14:26:00,0.004611628602540978,-5.968487088260059,0.10570452557698065,150.30420710332695
2025-11-19 13:25:00,0.006415792978682812,-5.9504548367858465,0.09743559369520997,108.03764754614187
2025-11-20 10:55:00,0.0064515418970616505,-5.991207197088716,0.09784514825858312,107.43899545558847
2025-11-21 09:53:00,0.007555254396828608,-5.9777392203696404,0.09366834994200207,91.74372485073442
2025-11-21 14:22:00,0.012677583538888499,-5.99310544864392,0.07587778026441581,54.675023708872885
2025-11-24 13:21:00,0.012576898064303097,-5.983882466191744,0.07567250988730514,55.11272946763392
2025-11-25 10:51:00,0.011020461485268359,-5.989020667687768,0.0803676317547882,62.89638428359032
2025-11-26 09:49:00,0.012609592545104813,-5.979225093788212,0.07310850155895827,54.96983174361434
2025-11-26 14:18:00,0.012411736000486796,-5.970218650368744,0.07553098389615887,55.84611053061067
2025-11-27 13:16:00,0.013072809970273705,-5.9539395153287815,0.076080208099854,53.02204974570076
2025-11-28 10:46:00,0.012237769106412935,-5.953529814588705,0.0768773020241111,56.63999496417339
2025-12-01 09:45:00,0.012640574880328142,-6.0574828860910435,0.2908821793209908,54.83509944145448
2025-12-01 14:14:00,0.0019955181509679265,-6.761622306902862,0.7295221127850022,347.3519798473064
2025-12-02 13:13:00,0.0017367709324216346,-6.919830914942597,0.7813036867218993,399.1010948078618
2025-12-03 10:42:00,0.0018276274069342106,-7.241620686560144,0.762157945580828,379.26066217330293
2025-12-04 09:40:00,0.002463481983132533,-7.229350970889012,0.6595668826299211,281.36888570970916
2025-12-04 14:10:00,0.003804887398798189,-7.369117085685663,0.5356601986924023,182.17284978758704
2025-12-05 13:09:00,0.00991749983675613,-7.3884915827325655,0.3339311506110464,69.89132260844723
2025-12-08 10:39:00,0.01452406448765325,-7.403849036393485,0.09286251615962282,47.724050051497784
2025-12-09 09:38:00,0.018435648043031876,-7.418270065931643,0.08837751753655838,37.598199908244304
2025-12-09 14:07:00,0.008948026274628814,-7.3798802995702735,0.12967635410057418,77.46369526487547
2025-12-10 13:05:00,0.00910158358055608,-7.381135391067312,0.12976417816531927,76.15676705323361
2025-12-11 10:34:00,0.006847603744474661,-7.338880627294796,0.142477497620348,101.2247797076819
2025-12-12 09:33:00,0.006530575195318077,-7.255777656496541,0.13546959597558347,106.13876417147434
2025-12-12 14:02:00,0.004217010776862814,-7.104856270708544,0.17343717606403788,164.3693168542487
2025-12-15 13:01:00,0.003256918738019478,-7.041355983262961,0.1942720677108643,212.82298893998376
2025-12-16 10:30:00,0.0036463145691744115,-7.008136374246303,0.18921362284074328,190.09527768661104
2025-12-16 14:59:00,0.0035364415058490193,-6.914089238313135,0.19484176386691368,196.0013135841579
2025-12-17 13:57:00,0.006665831089001268,-6.892533143511956,0.14256415180057042,103.98511022933805
2025-12-18 11:27:00,0.009531050183440599,-6.829625652505345,0.12667718870758587,72.72516325265293
2025-12-19 10:27:00,0.01266783800852103,-6.7868941479663665,0.1083443840882654,54.717085906347975
2025-12-19 14:56:00,0.00905845556917639,-6.730307108656845,0.12277642058773165,76.5193553433709
2025-12-22 13:55:00,0.007259195136648805,-6.667108076566038,0.13585790274711848,95.48540403060932
2025-12-23 11:25:00,0.009962853298514528,-6.644049796586241,0.10811859074517355,69.57315939433678
2025-12-24 10:25:00,0.010294284983346079,-6.6482063825128215,0.10209599168733995,67.333203003541
2025-12-24 14:54:00,0.01321614360336319,-6.638198006801755,0.08915781058324501,52.44700733908157
2025-12-26 13:44:00,0.0032984272556306044,-6.750640746067388,0.15976260466226044,210.1447528899427
2025-12-29 11:13:00,0.006004859282441578,-6.669403941312754,0.14908275633557685,115.43104475182828
2025-12-30 10:13:00,0.006409001464827372,-6.680558540255758,0.1458509355824152,108.15213327129663
2025-12-30 14:43:00,0.009821105658260273,-6.714904220014919,0.11644304911003034,70.5773061281504
