datetime,spread,zscore,mu,futures_pos,etf_pos
2025-10-29 10:18:00,-6.095211881887252,-1.6870073428964418,-5.911725814163758,-8,83700.0
2025-10-29 10:19:00,-6.096870686649112,-1.702258723278663,-5.911725814163758,-8,83700.0
2025-10-29 10:20:00,-6.082041284268186,-1.5659142529993846,-5.911725814163758,-8,83700.0
2025-10-29 10:21:00,-6.079041284268186,-1.5383316572661963,-5.911725814163758,-8,83700.0
2025-10-29 10:22:00,-6.1057000890300515,-1.7834380020916958,-5.911725814163758,-8,83700.0
2025-10-29 10:23:00,-6.093700089030051,-1.6731076191589431,-5.911725814163758,-8,83700.0
2025-10-29 10:24:00,-6.092358893791911,-1.660776403807976,-5.911725814163758,-8,83700.0
2025-10-29 10:25:00,-6.099261802125184,-1.7242431137879548,-5.911725814163758,-8,83700.0
2025-10-29 10:26:00,-6.088847100934714,-1.628488282915062,-5.911725814163758,-8,83700.0
2025-10-29 10:27:00,-6.087676503315649,-1.6177255759507574,-5.911725814163758,-8,83700.0
2025-10-29 10:28:00,-6.093676503315649,-1.6728907674171338,-5.911725814163758,-8,83700.0
2025-10-29 10:29:00,-6.110335308077495,-1.8260551264651652,-5.911725814163758,-8,83700.0
2025-10-29 10:30:00,-6.10499411283935,-1.776947116803237,-5.911725814163758,-8,83700.0
2025-10-29 10:31:00,-6.119311722363079,-1.9085860619227897,-5.911725814163758,-8,83700.0
2025-10-29 10:32:00,-6.120311722363084,-1.9177802605005627,-5.911725814163758,-8,83700.0
2025-10-29 10:33:00,-6.1406293318867995,-2.104584397086361,-5.911725814163758,-8,83700.0
2025-10-29 10:34:00,-6.13597052712494,-2.061750420970952,-5.911725814163758,-8,83700.0
2025-10-29 10:35:00,-6.1291411247440095,-1.998959539313465,-5.911725814163758,-8,83700.0
2025-10-29 10:36:00,-6.139311722363075,-2.0924700334773343,-5.911725814163758,-8,83700.0
2025-10-29 10:37:00,-6.171946941410511,-2.3925247180271394,-5.911725814163758,-8,83700.0
2025-10-29 10:38:00,-6.1556293318868,-2.242497375752302,-5.911725814163758,-8,83700.0
2025-10-29 10:39:00,-6.13697052712493,-2.070944619548594,-5.911725814163758,-8,83700.0
2025-10-29 10:40:00,-6.140799929505874,-2.1061529054730235,-5.911725814163758,-8,83700.0
2025-10-29 10:41:00,-6.13897052712494,-2.08933301670414,-5.911725814163758,-8,83700.0
2025-10-29 10:42:00,-6.124311722363075,-1.954557054811393,-5.911725814163758,-8,83700.0
2025-10-29 10:43:00,-6.1556293318868,-2.242497375752302,-5.911725814163758,-8,83700.0
2025-10-29 10:44:00,-6.16662933188681,-2.3436335601074125,-5.911725814163758,-8,83700.0
2025-10-29 10:45:00,-6.146970527124935,-2.1628866053259315,-5.911725814163758,-8,83700.0
2025-10-29 10:46:00,-6.16328813664866,-2.3129139476008995,-5.911725814163758,-8,83700.0
