datetime,action,direction,futures_lots,etf_shares,etf_price,tl_price,spread,zscore,tc,pnl_futures,pnl_etf,total_pnl,cum_pnl
2025-11-28 09:59:00,close,,-8,83956,118.323,114.725,-5.917318815223069,,1041.3925788,26399.99999999986,-23339.767999999294,2018.8394212005676,129429.16519270006
2025-11-28 14:52:00,open,short_spread,8,-83946,118.141,114.475,-5.828583755699796,1.625265918537587,519.8732193000001,,,,
2025-12-01 09:30:00,close,,-8,83946,116.6,114.485,-7.380413158080742,,1026.81036,800.0000000004093,129360.78600000092,129133.97564000133,258563.1408327014
2025-12-01 09:30:00,open,long_spread,-8,85063,116.6,114.485,-7.380413158080742,-18.56052834742461,519.91729,,,,
2025-12-02 13:13:00,close,,8,-85063,116.188,114.035,-7.3050900509388725,,1036.3299844,36000.000000000226,-35045.955999999314,-82.28598439908887,258480.85484830232
2025-12-08 11:06:00,open,short_spread,8,-85090,113.824,111.795,-7.24330391761049,1.728847390986385,508.26420800000005,,,,
2025-12-08 13:10:00,close,,-8,85090,113.76,111.845,-7.361450929515129,,1015.9838400000001,3999.9999999997726,5445.7599999994,8429.776159999172,266910.6310083015
2025-12-09 09:53:00,open,short_spread,8,-85072,114.5,112.435,-7.260385669990029,1.786476926966218,511.03720000000004,,,,
2025-12-10 10:13:00,close,,-8,85072,114.868,112.835,-7.325561765227235,,1025.2050496,31999.999999999316,-31306.495999999574,-331.7010496002574,266578.92995870125
2025-12-11 10:08:00,open,short_spread,8,-84959,115.356,113.125,-7.151614434274222,1.7687543668691128,514.0265202,,,,
2025-12-16 11:01:00,close,,-8,84959,114.11,111.775,-6.935645112848633,,1017.4671490000001,-107999.99999999955,105858.91399999958,-3158.5531489999667,263420.37680970127
2025-12-18 09:45:00,open,short_spread,8,-84657,114.693,112.075,-6.677527184276542,1.5081348047171144,509.47826504999995,,,,
2025-12-22 09:30:00,close,,-8,84657,115.057,112.405,-6.670897462847236,,1022.0380449000002,26399.99999999986,-30815.148000000365,-5437.1860449005035,257983.19076480076
2025-12-22 10:11:00,open,short_spread,8,-84546,115.1,112.325,-6.541262243799807,1.5397489514035287,510.56223,,,,
2025-12-23 10:07:00,close,,-8,84546,115.083,112.365,-6.601579853323514,,1020.9807318000001,3199.9999999993634,1437.281999999654,3616.3012681990167,261599.49203299978
2025-12-24 14:03:00,open,long_spread,-8,84718,115.501,112.945,-6.811685191417453,-1.6012265144088251,513.2506859,,,,
2025-12-25 09:38:00,close,,8,-84718,115.493,112.815,-6.678902960465379,,1026.4335974,10399.999999999636,-677.7440000008282,8695.822402598807,270295.3144355986
2025-12-26 10:02:00,open,long_spread,-8,84693,115.504,112.915,-6.7761969842746765,-1.5478058127512526,513.1190136,,,,
2025-12-29 09:31:00,close,,8,-84693,115.18,112.645,-6.8078031199895435,,1023.4939740000001,21600.00000000082,-27440.531999999836,-6864.025973999017,263431.2884615996
2025-12-29 09:44:00,open,short_spread,8,-84506,114.703,111.885,-6.461768539038857,1.8081340601526195,508.65458590000003,,,,
2025-12-29 14:08:00,close,,-8,84506,114.303,111.645,-6.601862881896523,,1013.9289318,-19200.000000000728,33802.40000000048,13588.471068199755,277019.7595297994
